id,listing_url,host_id,host_since,latitude,longitude,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,square_feet,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,reviews_per_month,price
12147973,https://www.airbnb.com/rooms/12147973,31303940,2015-04-15,42.28261879577949,-71.13306792912681,Roslindale,House,Entire home/apt,4,1.5,2.0,3.0,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Laptop Friendly Workspace""}",,2,0,,,,,,,,f,moderate,1,,250.0
3075044,https://www.airbnb.com/rooms/3075044,2572247,2012-06-07,42.286240821867416,-71.13437396457161,Roslindale,Apartment,Private room,2,1.0,1.0,1.0,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron}",,2,36,94.0,10.0,9.0,10.0,10.0,9.0,9.0,t,moderate,1,1.3,65.0
6976,https://www.airbnb.com/rooms/6976,16701,2009-05-11,42.29243788665679,-71.13576525374667,Roslindale,Apartment,Private room,2,1.0,1.0,1.0,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo,""Lock on Bedroom Door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,3,41,98.0,10.0,9.0,10.0,10.0,9.0,10.0,f,moderate,1,0.47,65.0
1436513,https://www.airbnb.com/rooms/1436513,6031442,2013-04-21,42.28110618827365,-71.12102117350554,,House,Private room,4,1.0,1.0,2.0,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,1,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,1,1.0,75.0
7651065,https://www.airbnb.com/rooms/7651065,15396970,2014-05-11,42.28451220982457,-71.1362580468337,Roslindale,House,Private room,2,1.5,1.0,2.0,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",,2,29,99.0,10.0,10.0,10.0,10.0,9.0,10.0,f,flexible,1,2.25,79.0
12386020,https://www.airbnb.com/rooms/12386020,64200298,2016-03-23,42.291689800769035,-71.13189277475922,Roslindale,Condominium,Private room,2,1.0,1.0,1.0,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Hangers,Iron}",,2,8,100.0,10.0,10.0,10.0,10.0,9.0,10.0,f,flexible,1,1.7,75.0
5706985,https://www.airbnb.com/rooms/5706985,6570877,2013-05-25,42.28138962623447,-71.13119041987277,,Apartment,Entire home/apt,3,1.0,1.0,2.0,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in""}",,1,57,90.0,10.0,10.0,10.0,10.0,9.0,9.0,f,strict,3,4.0,100.0
2843445,https://www.airbnb.com/rooms/2843445,3164508,2012-08-05,42.28194609607024,-71.14102161135577,Roslindale,House,Private room,2,2.0,1.0,1.0,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,1,67,96.0,10.0,10.0,10.0,10.0,10.0,10.0,f,moderate,2,2.38,75.0
753446,https://www.airbnb.com/rooms/753446,3962517,2012-10-24,42.285877639201935,-71.12490955692161,Roslindale,Condominium,Private room,2,1.0,1.0,2.0,"{""Wireless Internet"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo,Hangers,""Hair Dryer""}",12.0,2,65,96.0,10.0,10.0,10.0,10.0,9.0,10.0,f,moderate,1,5.36,58.0
849408,https://www.airbnb.com/rooms/849408,4434391,2012-12-18,42.288820283584535,-71.1395101021012,Roslindale,Apartment,Entire home/apt,5,1.0,2.0,2.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,4,33,94.0,10.0,9.0,10.0,10.0,9.0,9.0,f,strict,2,1.01,229.0
12023024,https://www.airbnb.com/rooms/12023024,64331842,2016-03-24,42.286448197788786,-71.13932538848039,Roslindale,House,Private room,2,1.0,1.0,1.0,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",Essentials,""Lock on Bedroom Door"",""Hair Dryer"",""translation missing: en.hosting_amenity_50""}",,1,1,80.0,10.0,8.0,8.0,10.0,10.0,10.0,f,flexible,1,0.36,60.0
1668313,https://www.airbnb.com/rooms/1668313,8834105,2013-09-14,42.281941832424685,-71.13337190191741,Roslindale,House,Private room,1,1.0,1.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,1,17,94.0,9.0,10.0,10.0,10.0,9.0,9.0,f,flexible,2,0.48,57.0
2684840,https://www.airbnb.com/rooms/2684840,13743098,2014-03-31,42.29172341146307,-71.13155602161845,Roslindale,Condominium,Entire home/apt,4,1.0,2.0,2.0,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,1,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,t,flexible,2,0.64,93.0
13547301,https://www.airbnb.com/rooms/13547301,57402911,2016-02-04,42.287641034701096,-71.12988286590424,Roslindale,Apartment,Entire home/apt,5,1.0,2.0,3.0,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,2,12,97.0,10.0,10.0,10.0,10.0,9.0,10.0,f,moderate,1,4.93,150.0
5434353,https://www.airbnb.com/rooms/5434353,9658771,2013-10-27,42.28626473620894,-71.13706513072117,Roslindale,House,Entire home/apt,2,1.5,2.0,2.0,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",,3,7,91.0,9.0,9.0,10.0,9.0,9.0,9.0,f,moderate,1,0.56,145.0
225979,https://www.airbnb.com/rooms/225979,1176995,2011-09-18,42.2814520694321,-71.12925004404066,Roslindale,Apartment,Private room,1,0.0,1.0,1.0,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",,1,70,96.0,9.0,10.0,10.0,10.0,9.0,10.0,t,strict,2,1.16,60.0
3420384,https://www.airbnb.com/rooms/3420384,431385,2011-03-09,42.27440801253166,-71.12529404441553,Roslindale,House,Private room,4,1.0,1.0,3.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher""}",,3,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,flexible,1,1.0,165.0
